"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Abandono histórico","Para colmo, según confirmó El Comercio, la plaza es utilizada por la comuna y la empresa contratista, desde hace algunos días, como un gran depósito de vehículos pesados.  Camiones, volquetes, mezcladoras, palas mecánicas, retroexcavadoras y hasta tractores ingresan a la plaza, que se encuentra cercada con un alto toldo.  Entre las 5 p.m. y las 6 p.m., llegan los vehículos pesados. All se quedan hasta las 7 a.m. del día siguiente, denunció el historiador chinchan Juan Balza Tassara.  El presidente del Club Internacional de Chincha, Alejandro Jordán Velit, criticó el abandono del lugar histórico. Han destruido la plaza y la han dejado así, reclamó.","elcomercio",2014-10-30,"Abandono histórico. Para colmo, según confirmó El Comercio, la plaza es utilizada por la comuna y la empresa contratista, desde hace algunos días, como un gran depósito de vehículos pesados.  Camiones, volquetes, mezcladoras, palas mecánicas, retroexcavadoras y hasta tractores ingresan a la plaza, que se encuentra cercada con un alto toldo.  Entre las 5 p.m. y las 6 p.m., llegan los vehículos pesados. All se quedan hasta las 7 a.m. del día siguiente, denunció el historiador chinchan Juan Balza Tassara.  El presidente del Club Internacional de Chincha, Alejandro Jordán Velit, criticó el abandono del lugar histórico. Han destruido la plaza y la han dejado así, reclamó.","-1","Unknown",0.0086,"274","vendedores informales, vendedores ambulantes, ambulantes, comerciantes informales, calles",0.1172,"-1","Unknown",0.0256
"Hallar Trabajo es Cada Vez Ms DIFICIL PARA LOS PROFESIONALES","Se estima que cuatro de cada diez est subempleado.","elcomercio",2015-07-11,"Hallar Trabajo es Cada Vez Ms DIFICIL PARA LOS PROFESIONALES. Se estima que cuatro de cada diez est subempleado.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0649,"-1","Unknown",0.0354,"-1","Unknown",0.0162
"Son, en promedio, menos productivas que las formales","Si bien es cierto que las empresas informales son, en promedio, menos productivas que las formales, esto no constituye automáticamente un problema económico significativo. Dentro de cualquier economía, existe un amplio rango de productividad que varía desde pequeñas empresas con bajo rendimiento hasta grandes corporativos generando ingresos elevados por trabajador. Parece claro que la baja productividad no deriva directamente de la informalidad. De hecho, simplemente legalizando una empresa podría incrementar rápidamente su eficiencia y utilidades. ¿Quién renunciaría voluntariamente a tales beneficios? Además, resulta complicado atribuir la causalidad inversa, sugiriendo que la baja productividad provoca la elección de permanecer informal. Empresas poco rentables pueden evitar cargas fiscales asociadas a la formalización, pero aún así están sujetas a regulaciones indirectas ejercidas por inspectores diversos. Explicar qué motiva a una organización a adherirse a todas las normativas legales también presenta dificultades. Parece más fácil entender cómo opera la informalidad que definirla completamente. Muchas compañías perciben mayores ventajas manteniéndose fuera del ámbito regulatorio oficial.","elcomercio",2014-10-24,"Son, en promedio, menos productivas que las formales. Si bien es cierto que las empresas informales son, en promedio, menos productivas que las formales, esto no constituye automáticamente un problema económico significativo. Dentro de cualquier economía, existe un amplio rango de productividad que varía desde pequeñas empresas con bajo rendimiento hasta grandes corporativos generando ingresos elevados por trabajador. Parece claro que la baja productividad no deriva directamente de la informalidad. De hecho, simplemente legalizando una empresa podría incrementar rápidamente su eficiencia y utilidades. ¿Quién renunciaría voluntariamente a tales beneficios? Además, resulta complicado atribuir la causalidad inversa, sugiriendo que la baja productividad provoca la elección de permanecer informal. Empresas poco rentables pueden evitar cargas fiscales asociadas a la formalización, pero aún así están sujetas a regulaciones indirectas ejercidas por inspectores diversos. Explicar qué motiva a una organización a adherirse a todas las normativas legales también presenta dificultades. Parece más fácil entender cómo opera la informalidad que definirla completamente. Muchas compañías perciben mayores ventajas manteniéndose fuera del ámbito regulatorio oficial.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.2182,"-1","Unknown",0.0716,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.0233
"Ambulantes abandonan las calles","Mas de 200 comerciantes ambulantes que vendían productos desde hace treinta años en el Jrín Gonzalo Fernández, cercano al Mercado Central de Piura, fueron reubicados.","elcomercio",2014-11-20,"Ambulantes abandonan las calles. Mas de 200 comerciantes ambulantes que vendían productos desde hace treinta años en el Jrín Gonzalo Fernández, cercano al Mercado Central de Piura, fueron reubicados.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",1,"274","vendedores informales, vendedores ambulantes, ambulantes, comerciantes informales, calles",1,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.2819
"Clausuran depósitos clandestinos en La Victoria","La Municipalidad de La Victoria clausuró 16 depósitos clandestinos de cajones de frutas en las cercanías del mercado mayorista de Frutas. Fueron sancionados con multas de S/.3.750 cada uno por falta de licencia de funcionamiento y certificado de Defensa Civil. Durante la intervención, dirigida por el área fiscalización del consejo, los dueños arrojaron piedras a serenos y policía.","elcomercio",2013-12-14,"Clausuran depósitos clandestinos en La Victoria. La Municipalidad de La Victoria clausuró 16 depósitos clandestinos de cajones de frutas en las cercanías del mercado mayorista de Frutas. Fueron sancionados con multas de S/.3.750 cada uno por falta de licencia de funcionamiento y certificado de Defensa Civil. Durante la intervención, dirigida por el área fiscalización del consejo, los dueños arrojaron piedras a serenos y policía.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",1,"-1","Unknown",0.0257,"-1","Unknown",0.012
"Desalojos en Centro de Lima","La Municipalidad de Lima ejecuta planes para remover a vendedores callejeros ubicados en el área central de la metrópoli. Durante estos procedimientos, cerca de treinta servidores públicos confiscaron stands y productos vendidos ilícitamente. Hubo resistencia significativa en algunas partes, particularmente en Mesa Redonda, donde los manifestantes utilizaron objetos punzo-cortantes y fragmentos sólidos para defenderse ante la falta de respuesta policial adecuada.","elcomercio",2014-06-07,"Desalojos en Centro de Lima. La Municipalidad de Lima ejecuta planes para remover a vendedores callejeros ubicados en el área central de la metrópoli. Durante estos procedimientos, cerca de treinta servidores públicos confiscaron stands y productos vendidos ilícitamente. Hubo resistencia significativa en algunas partes, particularmente en Mesa Redonda, donde los manifestantes utilizaron objetos punzo-cortantes y fragmentos sólidos para defenderse ante la falta de respuesta policial adecuada.","-1","Unknown",0.0085,"274","vendedores informales, vendedores ambulantes, ambulantes, comerciantes informales, calles",1,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",1
"Desempleo y Protestas Industriales","Empleadas textiles de La Ibrica protagonizan manifestaciones dramáticas en Arequipa, buscando atención gubernamental ante reclamos pendientes respecto a aumentos salariales y mejora de condiciones laborales.","elcomercio",2013-12-13,"Desempleo y Protestas Industriales. Empleadas textiles de La Ibrica protagonizan manifestaciones dramáticas en Arequipa, buscando atención gubernamental ante reclamos pendientes respecto a aumentos salariales y mejora de condiciones laborales.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.1638,"-1","Unknown",0.0193,"-1","Unknown",0.0115
"LAS ESTADÍSTICAS REVELADORAS SOBRE QUIÉNES GENERAN Y BENEFICIARIOS DEL PRODUCTO INTERNO BRUTO","Según datos proporcionados por el Instituto Nacional de Estadística e Informática (INEI), las empresas formalmente establecidas generan el 62% del Producto Interno Bruto (PIB) nacional, aunque representan sólo un quinto del empleo total. Sorprendentemente, por cada empleado registrado existe un segundo trabajador bajo condición informal dentro de estas mismas corporaciones. Otros segmentos económicos significativos incluyen las actividades informales, que contribuyen con el 30% del PIB, y el Estado, responsable del restante 8%.","elcomercio",2014-03-24,"LAS ESTADÍSTICAS REVELADORAS SOBRE QUIÉNES GENERAN Y BENEFICIARIOS DEL PRODUCTO INTERNO BRUTO. Según datos proporcionados por el Instituto Nacional de Estadística e Informática (INEI), las empresas formalmente establecidas generan el 62% del Producto Interno Bruto (PIB) nacional, aunque representan sólo un quinto del empleo total. Sorprendentemente, por cada empleado registrado existe un segundo trabajador bajo condición informal dentro de estas mismas corporaciones. Otros segmentos económicos significativos incluyen las actividades informales, que contribuyen con el 30% del PIB, y el Estado, responsable del restante 8%.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0757,"330","rigidez laboral, mercado laboral, demanda laboral, reforma laboral, legislacion laboral",0.1065,"-1","Unknown",0.0097
"Hasta la vista, combi","La planta de chatarreo de Huachipa es un campo de exterminio. Aplastadas por máquina pesada, unidades de transporte público con más de 20 años de antigüedad acaban ahí sus días. Sus dueños reciben –a cambio de deshacerse de ellas– cheques de entre US$4.000 y US$10.000 de la Municipalidad de Lima. El Comercio visitó este lugar, donde ayer fueron destruidos 40 buses, combis y coasters.","elcomercio",2015-07-10,"Hasta la vista, combi. La planta de chatarreo de Huachipa es un campo de exterminio. Aplastadas por máquina pesada, unidades de transporte público con más de 20 años de antigüedad acaban ahí sus días. Sus dueños reciben –a cambio de deshacerse de ellas– cheques de entre US$4.000 y US$10.000 de la Municipalidad de Lima. El Comercio visitó este lugar, donde ayer fueron destruidos 40 buses, combis y coasters.","-1","Unknown",0.0175,"274","vendedores informales, vendedores ambulantes, ambulantes, comerciantes informales, calles",0.0977,"251","corredor javier prado, municipalidad lima, linea metro lima, metro lima, javier prado",0.0382
"Los desempleados en Europa quizás no vuelvan a trabajar","Según los últimosdatos deEuroStat,Oficina Européenne des Statistiquesthela Union Europeane cuenta con cerca de veintitrés millones ymedio de desempleados, la mitaddelos cuales lleva más de un año sin trabajar,y el 12% noha trabajado desde hace cuatro años o más.Estos números muestran un panorama sombrío especialmente en países del Sur de Europa, donde España registra un 23.4% de desempleados que llevan más de cuatro años sin ocupación.Tras varios años de crisis, muchas regiones enfrentan dificultades significativas para reintegrar a los individuos en el mercado laboral, exacerbando problemas sociales adicionales como la pérdida de habilidades profesionales y aumento de la dependencia social. Además, según análisis, aquellos que permanecen desempleados prolongadamente experimentan deterioro psicológico y físico, impactando aún más su capacidad para reincorporarse eficientemente al ámbito profesional. Países del Norte ofrecen mejores perspectivas gracias a políticas activas de empleo, manteniendo niveles relativamente bajos de desempleo estructural comparativamente. Sin embargo, incluso aquí persisten retos considerables para integrar completamente a los segmentos marginados del mercado laboral.","elcomercio",2015-08-05,"Los desempleados en Europa quizás no vuelvan a trabajar. Según los últimosdatos deEuroStat,Oficina Européenne des Statistiquesthela Union Europeane cuenta con cerca de veintitrés millones ymedio de desempleados, la mitaddelos cuales lleva más de un año sin trabajar,y el 12% noha trabajado desde hace cuatro años o más.Estos números muestran un panorama sombrío especialmente en países del Sur de Europa, donde España registra un 23.4% de desempleados que llevan más de cuatro años sin ocupación.Tras varios años de crisis, muchas regiones enfrentan dificultades significativas para reintegrar a los individuos en el mercado laboral, exacerbando problemas sociales adicionales como la pérdida de habilidades profesionales y aumento de la dependencia social. Además, según análisis, aquellos que permanecen desempleados prolongadamente experimentan deterioro psicológico y físico, impactando aún más su capacidad para reincorporarse eficientemente al ámbito profesional. Países del Norte ofrecen mejores perspectivas gracias a políticas activas de empleo, manteniendo niveles relativamente bajos de desempleo estructural comparativamente. Sin embargo, incluso aquí persisten retos considerables para integrar completamente a los segmentos marginados del mercado laboral.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.1378,"-1","Unknown",0.006,"-1","Unknown",0.0149
"El régimen se desnaturaleza...","Si el joven continua trabajando a pesar de que el plazo del contrato y de las prórrogas pactadas vence, si se llega al límite de los tres años o si ya cumpliera 25 años, pasaría al régimen laboral general. Lo mismo sucederá si se demuestra fraude u otras infracciones cometidas por la empresa, o si se incumplen las condiciones del contrato y se obliga a prestar otras labores.","elcomercio",2015-01-10,"El régimen se desnaturaleza.... Si el joven continua trabajando a pesar de que el plazo del contrato y de las prórrogas pactadas vence, si se llega al límite de los tres años o si ya cumpliera 25 años, pasaría al régimen laboral general. Lo mismo sucederá si se demuestra fraude u otras infracciones cometidas por la empresa, o si se incumplen las condiciones del contrato y se obliga a prestar otras labores.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0537,"-1","Unknown",0.036,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.0276
"Trabajo informal predominante","Gran cantidad de personas laboran en economías informales, careciendo de seguridad social básica.","elcomercio",2014-07-24,"Trabajo informal predominante. Gran cantidad de personas laboran en economías informales, careciendo de seguridad social básica.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",1,"265","mercado laboral, fuerza laboral, salario minimo, disparidad salarial, condiciones laborales",1,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.074
"Pidieron aumento de salarios Personal de bomberos no hará huelga de 48 horas","Trabajadores administrativos del Cuerpo General de Bomberos Voluntarios del Per solicitaron incrementos salariales pendientes derivados de un acuerdo arbitrario firmado en 2010. Les otorgaron treinta días adicionales para resolver disputas contractuales, postergando así planes de suspensión laboral inicialmente programados.","elcomercio",2013-08-20,"Pidieron aumento de salarios Personal de bomberos no hará huelga de 48 horas. Trabajadores administrativos del Cuerpo General de Bomberos Voluntarios del Per solicitaron incrementos salariales pendientes derivados de un acuerdo arbitrario firmado en 2010. Les otorgaron treinta días adicionales para resolver disputas contractuales, postergando así planes de suspensión laboral inicialmente programados.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.1183,"-1","Unknown",0.0264,"-1","Unknown",0.0017
"LA COMUNA DE LA MOLINA HABILITA UN CAMARA AREA PARA COMBATIR EL DELITO","La Municipalidad de La Molina inaugur ayer un sistema de video-vigilancia área para mejorar la seguridad. Un dirigible con una cámara añadida permitirá vigilar a los barristas que van al Estadio Monumental, monitorear el tránsito y controlar las invasiones en el distrito.","elcomercio",2013-10-02,"LA COMUNA DE LA MOLINA HABILITA UN CAMARA AREA PARA COMBATIR EL DELITO. La Municipalidad de La Molina inaugur ayer un sistema de video-vigilancia área para mejorar la seguridad. Un dirigible con una cámara añadida permitirá vigilar a los barristas que van al Estadio Monumental, monitorear el tránsito y controlar las invasiones en el distrito.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",0.0425,"195","nacional seguridad ciudadana, patrullaje, seguridad urbana, seguridad ciudadana, mejorar seguridad",0.0404,"256","policia nacional peru, nacional seguridad ciudadana, policia nacional, seguridad ciudadana, ministerio interior",0.0375
"Editorial","se está dando una ley que hace más fácil – y por lo tanto  más probable- que parte de personas que hoy no tienen  ningú[n] derecho laboral pasen a acceder a algún[o] de ellos.","elcomercio",2015-01-18,"Editorial. se está dando una ley que hace más fácil – y por lo tanto  más probable- que parte de personas que hoy no tienen  ningú[n] derecho laboral pasen a acceder a algún[o] de ellos.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0579,"-1","Unknown",0.1269,"264","laboral peruano, ministro trabajo, reforma laboral, formalizacion laboral, ministerio trabajo",0.0212
"Reducción comercial en locales","Entas en  lOS LOCALES COMERCIALES SE HAN REDUCIDO EN UN 60% EN LOS ULTIMOS MESES. ESTO SE DEBE, SEGUN ALVA, A LOS BAJO PRECIOS DE LOS PRODUCTOS QUE OFRECEN LOS AMBULANTES.  EL DIRIGENTE DENUNCIO ADEMÁS QUE ALGUIEN INFORMALES ESTARIAN PAGANDO ENTRE S/.3 Y S/.5 A LOS SERENOS DE LA VICTORIA PARA QUE NO LES QUITEN SU MERCEDELA. NO TENEMOS NADA CONTRA LOS AMBULANTES, SOLO ESTAMOS A FAVOR DEL ORDEN, SEAL.  ALA INVOC AL MUNICIPIO DE LIMA A INTERVENIR, YA QUE, SEGÚN REFIERE, LA COMUNA DE LA VICTORIA NO HA MOSTRADADO NIÑINGUN INTERÉS POR SOLUCIONAR EL PROBLEMA.","elcomercio",2014-11-18,"Reducción comercial en locales. Entas en  lOS LOCALES COMERCIALES SE HAN REDUCIDO EN UN 60% EN LOS ULTIMOS MESES. ESTO SE DEBE, SEGUN ALVA, A LOS BAJO PRECIOS DE LOS PRODUCTOS QUE OFRECEN LOS AMBULANTES.  EL DIRIGENTE DENUNCIO ADEMÁS QUE ALGUIEN INFORMALES ESTARIAN PAGANDO ENTRE S/.3 Y S/.5 A LOS SERENOS DE LA VICTORIA PARA QUE NO LES QUITEN SU MERCEDELA. NO TENEMOS NADA CONTRA LOS AMBULANTES, SOLO ESTAMOS A FAVOR DEL ORDEN, SEAL.  ALA INVOC AL MUNICIPIO DE LIMA A INTERVENIR, YA QUE, SEGÚN REFIERE, LA COMUNA DE LA VICTORIA NO HA MOSTRADADO NIÑINGUN INTERÉS POR SOLUCIONAR EL PROBLEMA.","229","congreso, pas, politica, politico, ley",0.0799,"181","importante, comision, dicho, era, ultimo",0.2854,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.0537
"Desorden Ambulantista Genera Pérdidas Económicas en Gamarra","Pese a Anuncios Previos de Retiro de Ambulantes, Mercaderías Continúan Abultadas en Áreas Designadas. Dirigentes Denuncian Reducción Significativa en Ventas Debido a Precios Competidores Propuestos por Vendedores Informales.","elcomercio",2014-11-18,"Desorden Ambulantista Genera Pérdidas Económicas en Gamarra. Pese a Anuncios Previos de Retiro de Ambulantes, Mercaderías Continúan Abultadas en Áreas Designadas. Dirigentes Denuncian Reducción Significativa en Ventas Debido a Precios Competidores Propuestos por Vendedores Informales.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0527,"183","era, fue, segun, ao, ser",0.4706,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.0555
"Temática del día  La venta informal en Lima sin visos de solución","MIGUEL BELLIDO  Miguel Bellido describe cómo aproximadamente 2,500 vendedores ambulantes ilegales inundan diariamente las calles del Cercado de Lima. Detalla problemas relacionados con la falta de control efectivo y propuestas legislativas pendientes.","elcomercio",2013-12-12,"Temática del día  La venta informal en Lima sin visos de solución. MIGUEL BELLIDO  Miguel Bellido describe cómo aproximadamente 2,500 vendedores ambulantes ilegales inundan diariamente las calles del Cercado de Lima. Detalla problemas relacionados con la falta de control efectivo y propuestas legislativas pendientes.","351","comerciantes ambulantes, ambulantes ilegales, vendedores ambulantes, mil ambulantes, ambulantes",0.0294,"-1","Unknown",0.032,"355","comerciantes ambulantes, comerciantes informales, vendedores ambulantes, ambulantes ocupan, municipalidad lima",0.123
"Obras reales","El público objetivo son jóvenes de 17 a 25 años. Parte de la formación incluye prácticas de taller y ejecución de obras, siendo ésta última el 60% de su formación. También se les asesora hasta su inserción laboral.","elcomercio",2014-03-23,"Obras reales. El público objetivo son jóvenes de 17 a 25 años. Parte de la formación incluye prácticas de taller y ejecución de obras, siendo ésta última el 60% de su formación. También se les asesora hasta su inserción laboral.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0402,"-1","Unknown",0.0215,"-1","Unknown",0.0145
"Polémica Red de Empresarios Denunciados","Acusaciones graves presentadas contra redes comerciales implicadas en prácticas ilegales relacionadas con propiedades y derechos laborales injustos.","elcomercio",2014-06-30,"Polémica Red de Empresarios Denunciados. Acusaciones graves presentadas contra redes comerciales implicadas en prácticas ilegales relacionadas con propiedades y derechos laborales injustos.","276","informalidad laboral, trabajadores informales, crecimiento empleo, formalizacion laboral, empleos formales",0.0529,"-1","Unknown",0.0141,"296","casos judiciales relevantes, judiciales relevantes, casos judiciales, decisiones judiciales, judiciales",0.0341
