"headline","content","newspaper","date","combined_text","model_0_topic","model_0_topic_label","model_0_prob","model_1_topic","model_1_topic_label","model_1_prob","model_2_topic","model_2_topic_label","model_2_prob"
"Ambulantes retornan a calles de Mesa Redonda","El cerco que protege el contorno de la manzana de la Mesa Redonda, colapsado el 19 de abril, impidió a los ambulantes ocupar un carril de la pista de la cuadra 7 del jirón Cusco, vendiendo bolsas y demás objetos que obstruyen el tránsito peatonal. Esta situación se repite en el cruce de los jirones Mesa Redonda y Andahuaylas, donde operan vendedores de comida, bolsas, gallos y juguetes a la vista de los efectivos de fiscalización de la Municipalidad de Lima.","correo",2019-05-07,"Ambulantes retornan a calles de Mesa Redonda. El cerco que protege el contorno de la manzana de la Mesa Redonda, colapsado el 19 de abril, impidió a los ambulantes ocupar un carril de la pista de la cuadra 7 del jirón Cusco, vendiendo bolsas y demás objetos que obstruyen el tránsito peatonal. Esta situación se repite en el cruce de los jirones Mesa Redonda y Andahuaylas, donde operan vendedores de comida, bolsas, gallos y juguetes a la vista de los efectivos de fiscalización de la Municipalidad de Lima.","-1","Unknown",0.0283,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",1,"-1","Unknown",0.0213
"Lo bueno: Más de 118 mil empleos en la construcción de viviendas","Más de 118 mil empleos en la construcción de viviendas se generarán a lo largo de las cuatro fases de reanudación de actividades económicas.","correo",2020-05-05,"Lo bueno: Más de 118 mil empleos en la construcción de viviendas. Más de 118 mil empleos en la construcción de viviendas se generarán a lo largo de las cuatro fases de reanudación de actividades económicas.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",1,"2","sumaron millones, economia peruana, crecimiento, primer trimestre, estadistica informatica",0.056,"-1","Unknown",0.0049
"Gamarra atraviesa uno de sus peores momentos por la informalidad","El más grande emporio comercial de La Victoria atraviesa por uno de sus peores momentos. Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona. La venta ambulatoria informal, el reducido acceso de puertas -que ahora solo son 10 abiertas de las 32 que existen- y las condiciones exigentes a los comerciantes para ingresar su mercadería están llevando a Gamarra al cierre de sus negocios. Vamos a lamentar que, a fin de año, Gamarra haya perdido el 50 por ciento de su masa laboral y un porcentaje similar de su masa empresarial. De 31 mil 900 negocios, a la mitad. De 100 mil puestos de trabajo, a la mitad. Eso es lo que va a ocurrir, advirtió Saldaña.","correo",2020-08-04,"Gamarra atraviesa uno de sus peores momentos por la informalidad. El más grande emporio comercial de La Victoria atraviesa por uno de sus peores momentos. Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona. La venta ambulatoria informal, el reducido acceso de puertas -que ahora solo son 10 abiertas de las 32 que existen- y las condiciones exigentes a los comerciantes para ingresar su mercadería están llevando a Gamarra al cierre de sus negocios. Vamos a lamentar que, a fin de año, Gamarra haya perdido el 50 por ciento de su masa laboral y un porcentaje similar de su masa empresarial. De 31 mil 900 negocios, a la mitad. De 100 mil puestos de trabajo, a la mitad. Eso es lo que va a ocurrir, advirtió Saldaña.","139","ambulantes gamarra, calles san isidro, calles san, alcalde victoria george, ambulantes",0.0847,"-1","Unknown",0.0379,"128","comerciantes ambulantes, emporio comercial gamarra, comerciantes informales, municipalidad lima, municipalidad victoria",1
"Gamarra atraviesa uno de sus peores momentos por la informalidad","El más grande emporio comercial de La Victoria atraviesa por uno de sus peores momentos. Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona.  La venta ambulatoria informal, el reducido acceso de puertas —que ahora solo son 10 habilitadas de las 32 que existen-, y las condiciones exigentes a los comerciantes para ingresar su mercadería, están llevando a Gamarra al cierre de sus negocios.  Vamos a lamentar que, a fin de año, Gamarra haya perdido el 50 por ciento de su masa laboral y un porcentaje similar de su masa empresarial. De 31 mil 900 negocios, a la mitad. De 100 mil puestos de trabajo, a la mitad. Eso es lo que va a ocurrir, advirtió Saldaña. Agregó que los ambulantes han tomado los alrededores de Gamarra, en un radio de cinco cuadras, y que las autoridades no ponen orden.","correo",2020-08-04,"Gamarra atraviesa uno de sus peores momentos por la informalidad. El más grande emporio comercial de La Victoria atraviesa por uno de sus peores momentos. Gamarra ya no da más, dijo Susana Saldaña, presidenta de la coordinadora de empresarios de la zona.  La venta ambulatoria informal, el reducido acceso de puertas —que ahora solo son 10 habilitadas de las 32 que existen-, y las condiciones exigentes a los comerciantes para ingresar su mercadería, están llevando a Gamarra al cierre de sus negocios.  Vamos a lamentar que, a fin de año, Gamarra haya perdido el 50 por ciento de su masa laboral y un porcentaje similar de su masa empresarial. De 31 mil 900 negocios, a la mitad. De 100 mil puestos de trabajo, a la mitad. Eso es lo que va a ocurrir, advirtió Saldaña. Agregó que los ambulantes han tomado los alrededores de Gamarra, en un radio de cinco cuadras, y que las autoridades no ponen orden.","139","ambulantes gamarra, calles san isidro, calles san, alcalde victoria george, ambulantes",0.0903,"-1","Unknown",0.0015,"128","comerciantes ambulantes, emporio comercial gamarra, comerciantes informales, municipalidad lima, municipalidad victoria",1
"Pasivos Por sobreendeudamiento se evalúa vender parte de la infraestructura","Por sobreendeudamiento se evalúa vender parte de la infraestructura.","correo",2019-09-02,"Pasivos Por sobreendeudamiento se evalúa vender parte de la infraestructura. Por sobreendeudamiento se evalúa vender parte de la infraestructura.","233","empleos informales, mas mil empleos, empleos construccion, empleos, mil empleos",0.0191,"-1","Unknown",0.0326,"85","ejecucion inversion publica, proyectos inversion publica, obras impuestos oxi, proyectos inversion, obras impuestos",0.0655
"EDITORIAL","LA OLA DE GAMARRA SE EXPANDE EN EL PAÍS  Maas -varias de ellas desbaratadas en los últimos meses-, el caos se replica en la ocupación y el control de calles cerca de zonas comerciales. Tal situación genera desorden en las principales urbes del país, con leyes existentes que duermen el sueño de los justos y dan paso a la ley de la selva, donde el más violento impone sus reglas.  Claro ejemplo de ello es lo que pasó durante los últimos años en el principal emporio comercial del Perú: Gamarra, donde las calles eran controladas por mafias en coordinación con malos funcionarios de la Municipalidad de La Victoria. El desorden y el caos que imperaban en dicha zona fueron enfrentados de manera frontal por la administración edil con su alcalde Vicente Ble, quien dispuso un gigantesco operativo para recuperar las calles.  Hubo días de tensión, pero al final se limpiaron las vías, especialmente para el libre tránsito de miles de personas que acuden a trabajar y de aquellas que llegan para realizar sus compras. Entonces, ocurrió lo que muy poco se hace en el país: se recuperó el principio de autoridad.  Esta acción positiva permitió a Forsyth convertirse en una principal figura de la escena política nacional y -lo que es mejor- los vecinos recuperaron la confianza.  La ola de Gamarra se replica en otros distritos como San Luis, Santa Anita y El Agustino, al igual que en el sur, más concretamente en Arequipa. Esto es bueno, ya que es hora de tener ciudades ordenadas... Aunque todo eso depende de la firmeza y del compromiso de quienes nos gobiernan.","correo",2019-03-30,"EDITORIAL. LA OLA DE GAMARRA SE EXPANDE EN EL PAÍS  Maas -varias de ellas desbaratadas en los últimos meses-, el caos se replica en la ocupación y el control de calles cerca de zonas comerciales. Tal situación genera desorden en las principales urbes del país, con leyes existentes que duermen el sueño de los justos y dan paso a la ley de la selva, donde el más violento impone sus reglas.  Claro ejemplo de ello es lo que pasó durante los últimos años en el principal emporio comercial del Perú: Gamarra, donde las calles eran controladas por mafias en coordinación con malos funcionarios de la Municipalidad de La Victoria. El desorden y el caos que imperaban en dicha zona fueron enfrentados de manera frontal por la administración edil con su alcalde Vicente Ble, quien dispuso un gigantesco operativo para recuperar las calles.  Hubo días de tensión, pero al final se limpiaron las vías, especialmente para el libre tránsito de miles de personas que acuden a trabajar y de aquellas que llegan para realizar sus compras. Entonces, ocurrió lo que muy poco se hace en el país: se recuperó el principio de autoridad.  Esta acción positiva permitió a Forsyth convertirse en una principal figura de la escena política nacional y -lo que es mejor- los vecinos recuperaron la confianza.  La ola de Gamarra se replica en otros distritos como San Luis, Santa Anita y El Agustino, al igual que en el sur, más concretamente en Arequipa. Esto es bueno, ya que es hora de tener ciudades ordenadas... Aunque todo eso depende de la firmeza y del compromiso de quienes nos gobiernan.","-1","Unknown",0.0119,"-1","Unknown",0.0289,"128","comerciantes ambulantes, emporio comercial gamarra, comerciantes informales, municipalidad lima, municipalidad victoria",0.0795
"Donación de sueldo por parte del alcalde beneficiará a instituciones","El íntegro de su sueldo (S/2000) será donado a instituciones y organizaciones benéficas de la ciudad, como el asilo de ancianos, la Beneficencia Pública, los comedores populares y las familias más necesitadas, anunció el alcalde Manuel Becerra Velázquez. Refirió que la donación se cumplirá durante los cuatro años de gobierno y se rotará entre las organizaciones que más necesiten de apoyo. Aclaró que la decisión de donar su sueldo no tiene que ver con temas electorales, ya que él es un empresario exitoso dedicado a la formación académica como dueño de la Universidad Antonio Guillermo Urrelo.","correo",2015-01-10,"Donación de sueldo por parte del alcalde beneficiará a instituciones. El íntegro de su sueldo (S/2000) será donado a instituciones y organizaciones benéficas de la ciudad, como el asilo de ancianos, la Beneficencia Pública, los comedores populares y las familias más necesitadas, anunció el alcalde Manuel Becerra Velázquez. Refirió que la donación se cumplirá durante los cuatro años de gobierno y se rotará entre las organizaciones que más necesiten de apoyo. Aclaró que la decisión de donar su sueldo no tiene que ver con temas electorales, ya que él es un empresario exitoso dedicado a la formación académica como dueño de la Universidad Antonio Guillermo Urrelo.","269","peru childrens charity, childrens charity, solidaridad es, valor solidaridad, solidaridad",0.0296,"233","pequenas empresas mypes, exoneraciones tributarias, paguen, remuneracion, congresista vozdelatierra",1,"-1","Unknown",0.002
"Me importa un carajo qué suba o baje el dólar: total yo ahorro",NA,"correo",2015-01-10,"Me importa un carajo qué suba o baje el dólar: total yo ahorro","-1","Unknown",0.0281,"233","pequenas empresas mypes, exoneraciones tributarias, paguen, remuneracion, congresista vozdelatierra",1,"-1","Unknown",0.0018
"EE.UU. rebaja impuestos a empresas","Los republicanos en el Congreso de Estados Unidos aprobaron una versión definitiva de la reducción de impuestos impulsada por el presidente, Donald Trump, con importantes recortes impositivos para las empresas. El acuerdo recoge una reducción del 35% al 21% en el impuesto de sociedades que pagan las empresas. La medida entrará en vigor el 1 de enero de 2018 y provocará que el fisco estadounidense deje de recaudar un billón de dólares en la próxima década.","correo",2017-12-17,"EE.UU. rebaja impuestos a empresas. Los republicanos en el Congreso de Estados Unidos aprobaron una versión definitiva de la reducción de impuestos impulsada por el presidente, Donald Trump, con importantes recortes impositivos para las empresas. El acuerdo recoge una reducción del 35% al 21% en el impuesto de sociedades que pagan las empresas. La medida entrará en vigor el 1 de enero de 2018 y provocará que el fisco estadounidense deje de recaudar un billón de dólares en la próxima década.","-1","Unknown",0.0082,"233","pequenas empresas mypes, exoneraciones tributarias, paguen, remuneracion, congresista vozdelatierra",1,"-1","Unknown",0.0272
"Comerciantes de negocios reabiertos buscan recuperar inversión realizada por el Día de la Madre","La Municipalidad de Lima lideró la supervisión de 23,410 calles comerciales en Mesa Redonda, según el balance realizado a siete días de iniciado el plan de saneamiento aplicado, tras el incendio que consumió casi una manzana del emporio comercial el pasado 19 de abril. La clausura de los locales es resultado de la inspección de 2,064 establecimientos ubicados en Mesa Redonda, comprender los bloques Huaca, Ucayali, Ancash, Cusco, Puno, Huanuco y Ayacucho. La comuna también informó que existe un total de 2,303 locales que no podrán abrir al público por colaborar con las inspecciones, impedir el ingreso de 105 inspectores o negarse a abrir sus puertas. En la mayoría de casos, las faltas encontradas corresponden a condiciones eléctricas deficientes, sistemas de extracción de humo que no funcionaban, riesgo en el tablero central de las galerías, material combustible en áreas sin ventilación adecuada.","correo",2019-05-05,"Comerciantes de negocios reabiertos buscan recuperar inversión realizada por el Día de la Madre. La Municipalidad de Lima lideró la supervisión de 23,410 calles comerciales en Mesa Redonda, según el balance realizado a siete días de iniciado el plan de saneamiento aplicado, tras el incendio que consumió casi una manzana del emporio comercial el pasado 19 de abril. La clausura de los locales es resultado de la inspección de 2,064 establecimientos ubicados en Mesa Redonda, comprender los bloques Huaca, Ucayali, Ancash, Cusco, Puno, Huanuco y Ayacucho. La comuna también informó que existe un total de 2,303 locales que no podrán abrir al público por colaborar con las inspecciones, impedir el ingreso de 105 inspectores o negarse a abrir sus puertas. En la mayoría de casos, las faltas encontradas corresponden a condiciones eléctricas deficientes, sistemas de extracción de humo que no funcionaban, riesgo en el tablero central de las galerías, material combustible en áreas sin ventilación adecuada.","1","transporte urbano, ministerio transportes comunicaciones, municipalidad lima, transporte publico, ministerio transportes",0.0241,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.0469,"361","defensa civil lima, redonda cercado lima, municipalidad lima, civil municipalidad lima, incendio mesa redonda",0.0436
"El virus avanza en aglomeraciones","Los puntos más concurridos por los peruanos continúan siendo los bancos y mercados. Sin embargo, pese a la norma de distanciamiento social, muchos ciudadanos acuden a estos locales acompañados, desobedeciendo así la orden del Gobierno. Durante un recorrido, Correo observó que en los mercados de San Juan de Lurigancho mas los clientes acuden a comprar acompañados de dos de sus parejas, amigos o familiares. Esta situación favorece a que el virus se traslade. En cuanto a los bancos, largas colas se formaron ayer en varias agencias para cobrar los bonos. En el cruce de las avenidas San Felipe y Universitaria, el público avanzaba despacio para acceder al beneficio brindado por el Ejecutivo para paliar la crisis generada por el COVID-19.","correo",2020-05-03,"El virus avanza en aglomeraciones. Los puntos más concurridos por los peruanos continúan siendo los bancos y mercados. Sin embargo, pese a la norma de distanciamiento social, muchos ciudadanos acuden a estos locales acompañados, desobedeciendo así la orden del Gobierno. Durante un recorrido, Correo observó que en los mercados de San Juan de Lurigancho mas los clientes acuden a comprar acompañados de dos de sus parejas, amigos o familiares. Esta situación favorece a que el virus se traslade. En cuanto a los bancos, largas colas se formaron ayer en varias agencias para cobrar los bonos. En el cruce de las avenidas San Felipe y Universitaria, el público avanzaba despacio para acceder al beneficio brindado por el Ejecutivo para paliar la crisis generada por el COVID-19.","211","virus peru, infectados peru, pandemia coronavirus, epidemia, peruanos",0.2486,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.2587,"-1","Unknown",0.0134
"San Isidro inspecciona locales","Para verificar el cumplimiento de las medidas de seguridad en los supermercados, centros comerciales, tiendas por departamentos y patios de comida ubicados en San Isidro, la municipalidad de este distrito realiza inspecciones en dichos locales. Los inspectores evalúan la señalización, salidas de emergencia, aforo, extintores y el sistema eléctrico, así como las escaleras, aspersores, entre otros aspectos.","correo",2017-06-27,"San Isidro inspecciona locales. Para verificar el cumplimiento de las medidas de seguridad en los supermercados, centros comerciales, tiendas por departamentos y patios de comida ubicados en San Isidro, la municipalidad de este distrito realiza inspecciones en dichos locales. Los inspectores evalúan la señalización, salidas de emergencia, aforo, extintores y el sistema eléctrico, así como las escaleras, aspersores, entre otros aspectos.","1","transporte urbano, ministerio transportes comunicaciones, municipalidad lima, transporte publico, ministerio transportes",0.0267,"85","ambulantes ocupan, ambulantes, vendedores informales, peatonal, calles",0.0642,"-1","Unknown",0.0628
