"headline","subheadline","author","content","newspaper","date","It seems you've provided some dialogue rather than full news articles for extraction. Based on your input, there's insufficient context to extract complete articles according to the specified criteria. Here’s what I can offer:"
"Peligro en Playas Venezia y Barlovento","EMAPE Reconoce Daños Ocasionados por Oleaje Fuerte","","Javier Sota Nadal, presidente del directorio de EMAPE, acepta que el intenso oleaje impactó negativamente en obras de infraestructura turística.","peru21","2014/07/15",""
"Innovación Educativa","Modernización de las UGEL","Jaime Saavedra","Anunció cambios significativos destinados a optimizar la administración educativa nacional mediante actualizaciones estructurales en las UGEL.","peru21","2014/07/15",""
"Sorpresa Criminal","Detienen a Integrante de Bandas Criminales","","Laura Netto Urquizta, conocida como parte de la banda 'Las Bellas', fue arrestada tratando de ejecutar un hurto en un complejo residencial de San Isidro.","peru21","2014/07/15",""
"Mundo indignado por selección del Balón de Oro","De Maradona a Kempes, ninguno coincide con la elección","","Thomas Müller, jugador alemán, bromea diciendo ‘somos campeones del mundo, puedes metértelo tú mismo’ después de preguntársele sobre el Balón de Oro.","peru21","2014/07/15",""
"FIFA reporta altos ingresos durante el Mundial","Se registraron aproximadamente $4000 millones","","Según Jerome Valcke, secretario general de la FIFA, el 60% proviene de derechos de televisión, un 35%-40% de merchandising, y un bajo porcentaje procede de boletos. Durante el torneo, 3429873 aficionados asistieron a los juegos.","peru21","2014/07/15",""
"Germán Alemanno confirma su vinculo emocional con Universitario","Su esposa profetizó su llegada al club","","Un año atrás, la pareja de Germán Alemanno, Georgina Mongrut, posó con la camiseta de Universitario, anticipándose así a su futuro fichaje según palabras del entrenador.","peru21","2014/07/15",""
"Sabella critica ausencia de Lavezzi en el once inicial","‘Siempre hay cambios tácticos’, dice Sabella","","Tras criticar públicamente la exclusión de Lavezzi en el último partido, Sabella menciona que cada situación demanda ajustes tácticos distintos.","peru21","2014/07/15",""
"Copa América genera récord en redes sociales","Facebook y Twitter batallan marcas históricas","","Durante la Copa América, Facebook experimentó 3 billones de interacciones y Twitter acumuló 35.6 millones de tweets, estableciendo nuevos records mundiales.","peru21","2014/07/15",""
"","","","","peru21","2014/07/15",""
"","","","","peru21","2014/07/15","1. **Headline**: NA  "
"","","","","peru21","2014/07/15","2. **Subheadline**: NA  "
"","","","","peru21","2014/07/15","3. **Author**: NA  "
"","","","","peru21","2014/07/15","4. **Content**: sus telenovelas a Televisa, pero no lo hizo con las películas y nosotros remamos adaptarlas, me encanta producir y vamos a ir paso a paso. podría ser mío opera prima"
"","","","","peru21","2014/07/15",""
"","","","","peru21","2014/07/15","Since this doesn't meet the requirements for extracting structured articles due to lack of headlines, subheadings, authors, etc., please provide more comprehensive sections of the newspaper text so we might identify actual articles within those pages. "
"","","","","peru21","2014/07/15",""
"","","","","peru21","2014/07/15","If further assistance is needed regarding specific parts of newspapers or other tasks related to data processing, feel free to ask!"
