"headline","subheadline","author","content","newspaper","date","El loco del martillo","NA","La Seño María","Hoy en día, uno pensaría que...  ","Headline","Subheadline","Author","Content"
"Fabianne Marytoly López, empresaria con rumba","","","Parejas, sexo, moda, belleza, crianza y el horóscopo del amor.","trome","2014/01/15","","","","","","","",""
"El Bayern y Sercampeón del mundo, a la espera de un nuevo técnico","","","El Bayern de Múnich y Sercampeón del mundo, a la espera de un nuevo técnico.","trome","2014/01/15","","","","","","","",""
"El argentino Sebastián Luna y el colombiano Flavio doba arribaron a la capital, posaron con la caseta, se emocionaron con la bienvenida de los hinchas y pasaron exámenes médicos. Pero ¿por qué su futuro no sería el mismo? El gaucho pasó todas las pruebas sin problemas, firmó contrato por un año y, por la tarde, se puso a las órdenes de Ángel Comizzo. En cambio, el cafetero admitió ante el médico Julio Segura que hace una semana tiene un dolor en el muslo derecho, que no le deja trabajar tranquilo. Se le hará una cinta y practicará un test de fuerza muscular. Si todo sale bien, recién podrá estampar su firma como nuevo defensa crema.","","","","trome","2014/01/15","","","","","","","",""
"La Molina, San Miguel, Surco, Miraflores, Chorrillos, Cercado, San Juan de Lurigancho, San Juan de Miraflores","","","La Molina, San Miguel, Surco, Miraflores, Chorrillos, Cercado, San Juan de Lurigancho, San Juan de Miraflores.","trome","2014/01/15","","","","","","","",""
"José Luna Gálvez","Un educador de calidad","","115 de febrero Programa presencial solo full-time... Clases intensivas Diplomados gratuitos en todas las carreras.","trome","2014/01/15","","","","","","","",""
"El holandés Clarence Seedorf fue designado como nuevo DT del AC Milan, donde ganó dos Champions, dos Copas Italia y 226 partidos. 'Me llamaron en medio de la práctica. Pasé 10 años de mi vida ahí, no pude decir que no', dijo Seedorf, de 37 años, quien dejó sus vacaciones en su casa de Río de Janeiro y posó con sus '5 Balones de Oro' al lado de cinco señoritas asistentes, quienes están literalmente a sus pies.","","","","trome","2014/01/15","","","","","","","",""
"El argentino Hemán Cresp y el holandés en su piscina, quienes están literalmente a sus pies. Clarence Stam, ambos ex-Milan. El nuevo DT del Frankfurt, el uruguayo Diego Alonso, prefirió no hablar de las ofertas de Inglaterra.","","","","trome","2014/01/15","","","","","","","",""
"El Monumento Arqueológico de Chavín de Huántar, el mayor centro religioso y político de la referencia cultural de la Cultura Chavín (900 a.C.—200 a.C), considerada matriz porque influyó en el origen del ala mayoría de las culturas andinas. El complejo consta de dos estructuras principales: el Templo Antiguo y el Templo Nuevo. En el Templo Antiguo existen galerías abiertas al público y una variedad de construcciones tales como: laberintos, acueductos, tos y plazas que podemos visitar. Desde Huaraz demoramos dos horas y media para recorrer los 109 kilómetros hasta Chavín de Huántar (en la confluencia delos ríos Mosna y Wachegua, al pie de la Cordillera Blanca, 200 metros de altura). El clima es frío y seco (4% a 24° grados) el sol y hay que llevar abrigo.","","","","trome","2014/01/15","","","","","","","",""
"Serapio Calderón","","","Serapio Calderón fue segundo vicepresidente, ocupó la Presidencia de la República durante un breve período de la cultura que también recoge la variante adaptada referendo y referendums, no los referenda: República durante un breve período. Nació en 1843 y murió en 1922.","trome","2014/01/15","","","","","","","",""
"Doctor, cuando me casé con mi esposo optamos por separación de bienes, ahora mi marido lo va a embargar por una deuda que tengo con el banco. Mi duda es: ¿la institución financiera también puede embargar mis bienes? Señora, según nuestro ordenamiento jurídico, a usted no le pueden embargar deudas de su esposo siempre que cada cónyuge responde a sus deudas con sus propios bienes, y si usted está en el régimen de separación de patrimonios, cada uno conserva a plenitud la propiedad, administración y disposición de los mismos (presentes y futuros). Además, a cada cónyuge le corresponde los frutos y productos de dichos bienes.","","","","trome","2014/01/15","","","","","","","",""
"La insatisfacción es un estado que aparece cuando las cosas que tenemos o que hemos conseguido nos parecen suficientes. Está relacionado con elevados niveles de frustración, tristeza y apatía. Para el logro de una vida exitosa y placiente.","","","","trome","2014/01/15","","","","","","","",""
"","","","","trome","2014/01/15","Contento por fin de cuarentena","Habla Trome","Ismael Lazo, Vecino de San Luis","Estoy feliz porque...","","","",""
"","","","","trome","2014/01/15","","","","","NA","NA","NA","Quien tuvo una hija en 1974, de nombre Mazarine. Locuriosa no fue una relación esporádica. Toda Francia se escandalizó cuando la veinteañera Mazarine sacó un libro, relatando su relación con su papá presidente. 'Desayunábamos con mi mamá y papá (Mitterrand) todas las mañanas. Luego, mamá se iba a trabajar en bici al museo, papá al Palacio del Elíseo (del gobierno) y yo al colegio. En la noche se iba a cenar a la Rue de Biévre, su domicilio con su esposa Danielle, como cada domingo. Luego, volvía a dormir en nuestra casa.' Una total doble vida como cualquier infiel no francés. Su esposa y sobre todo, su pueblo le aceptó esa doble vida al llamado 'último gran presidente francés: JOHN KENNEDY: El presidente norteamericano encarnaba, junto a su esposa Jackeline 'Jackie' Bouvier, todo el glamour en aquel año 1961, en el cual llegó a la presidencia. Una bella y distinguida esposa y una parejita de lindos niños. Pero esa idílica imagen de familia ideal era solamente una careta. Jackie no era ingenua, sabía que su marido le era infiel con la megaestrella de Hollywood, Marilyn Monroe, quien ni bien se divorció del escritor Arthur Miller, inició una relación clandestina con el presidente. Cuando le cantó en público el famoso 'Happy Birthday Mr. President', Jackie explotó y amenazó con contarle a la prensa todo y plantearle el divorcio. Él aspiraba a la reelección. Hubo informes periodísticos que Marilyn no quería aceptar la ruptura y también amenazaba a Kennedy con revelar su secreta relación si terminaba con ella. 'Felizmente' para el mandatario, Marilyn murió de una sospechosa 'sobredosis' pero la sombra de duda sobre Kennedy y sus amigos de la mafía en esa extraña muerte nunca se disipó. Además, JFK también le fue infiel a Jackie con Judith Campbell Exner la mafiosa'. Ella confesó a la revista People, en 1988, que tuvo un romance con el presidente en 1960. Se lo presentó Frank Sinatra en Las Vegas. Ella contó que 'La Voz' también le presentó al mafioso Sam Giancana, de quien también fue amante. Judith contó que perdió su virginidad en el lecho con el entonces senador John Kennedy. BILL CLINTON: El presidente demócrata, casado con una mujer guapa e inteligente, hacía recordar a los norteamericanos el matrimonio Kennedy. Pero en 1995 el mandatario vivió la peor pesadilla de su vida. Una becaria de la Casa Blanca, gordita pero de rostro agraciado y cachetón, Mónica Lewinsky, pudo ocasionar su renuncia a la presidencia. Todo porque el mandatario sostenía relaciones con ella en la mismísima 'Sala Oval'. Pero sobre todo sexo oral. Bill pensó que la chica era inocente, que estaba enamorada de él y nunca revelaría el 'secreto'. Sin embargo, la muchacha le contó todos los encuentros a una secretaria rata y ambiciosa: Linda Tripp, quien grabó horas de las calientes confesiones. Después le aconsejó en una de esas sesiones de sexo oral dejara que el líquido de rana se escurriera su vestido. La 'inocente' Mónica guardó la prenda sin decirle a nadie. Mientras, la siniestra Tripp le entregó las grabaciones al ambicioso abogado Kenneth Starr que terminó redactando una acusación fiscal que pudo costarle la presidencia. Pero el Congreso lo salvó y su esposa Hillary lo perdonó. Ahora ella es consejera en el gobierno del presidente Obama y Clinton está de saco largo. Alejandra y su bikini floreado: La muchacha espera con ansias que llegue el fin de semana, ya que se irá a veranear a las playas del sur. Y como no quiere dejar nada al azar, le mostró a nuestro inquieto paparazzi el bikini que usará. 'Es que las flores me alocan y mi traje de baño las tiene', manifestó."
